,value,formattedValue,link,topic_mid,topic_title,topic_type
0,99600,Breakout,/trends/explore?q=/g/11n23yjt6j&date=today+5-y,/g/11n23yjt6j,Mac Studio Radiance Face Body Radiant Sheer Foundation,Foundation
1,14550,Breakout,/trends/explore?q=/g/11k6td193l&date=today+5-y,/g/11k6td193l,Beauty Icons AB,Company
2,14000,Breakout,/trends/explore?q=/g/11j0h63cwm&date=today+5-y,/g/11j0h63cwm,M·A·C Studio Fix Soft Matte Foundation Stick,Foundation
3,10200,Breakout,/trends/explore?q=/m/02mc2c&date=today+5-y,/m/02mc2c,Radiance,Topic
4,8250,Breakout,/trends/explore?q=/g/11ng0cvhwf&date=today+5-y,/g/11ng0cvhwf,Hero Cosmetics,Topic
5,2300,"+2,300%",/trends/explore?q=/g/11dxd2vdb_&date=today+5-y,/g/11dxd2vdb_,Sugar Cosmetics,Topic
6,2200,"+2,200%",/trends/explore?q=/g/11hfkb__6b&date=today+5-y,/g/11hfkb__6b,Freshly Cosmetics,Company
7,1400,"+1,400%",/trends/explore?q=/g/11lwd4wz6s&date=today+5-y,/g/11lwd4wz6s,Thrive Causemetics,Topic
8,1050,"+1,050%",/trends/explore?q=/g/11bwh9swq_&date=today+5-y,/g/11bwh9swq_,M·A·C Studio Fix Powder Plus Foundation,Foundation
9,800,+800%,/trends/explore?q=/g/11crznp172&date=today+5-y,/g/11crznp172,M·A·C Pro Longwear Nourishing Waterproof Foundation,Foundation
10,750,+750%,/trends/explore?q=/g/11g9n9vhtw&date=today+5-y,/g/11g9n9vhtw,"BH Cosmetics, Inc.",Company
11,450,+450%,/trends/explore?q=/g/11g6qkjtcg&date=today+5-y,/g/11g6qkjtcg,The Ordinary,Topic
12,350,+350%,/trends/explore?q=/g/11bzt_bv0v&date=today+5-y,/g/11bzt_bv0v,Jaclyn Hill,American entrepreneur
13,350,+350%,/trends/explore?q=/g/11bxf7qfmy&date=today+5-y,/g/11bxf7qfmy,M·A·C Studio Fix Fluid,Foundation
14,300,+300%,/trends/explore?q=/m/02rv880&date=today+5-y,/m/02rv880,Foundation,Cosmetics
15,250,+250%,/trends/explore?q=/g/11f53qtprn&date=today+5-y,/g/11f53qtprn,Fenty Beauty,Topic
16,190,+190%,/trends/explore?q=/m/0yxzwny&date=today+5-y,/m/0yxzwny,dm-drogerie markt,Retail-store company
17,190,+190%,/trends/explore?q=/m/04ldlf&date=today+5-y,/m/04ldlf,Hyaluronic acid,Topic
18,190,+190%,/trends/explore?q=/g/11f8mrsscr&date=today+5-y,/g/11f8mrsscr,Serum,Topic
19,180,+180%,/trends/explore?q=/g/11bwfh90y1&date=today+5-y,/g/11bwfh90y1,IT Cosmetics CC+ Cream,Topic
20,170,+170%,/trends/explore?q=/m/0dzct&date=today+5-y,/m/0dzct,Face,Topic
21,170,+170%,/trends/explore?q=/m/0hnd4tx&date=today+5-y,/m/0hnd4tx,CC cream,Topic
