,value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
0,100,100,True,/trends/explore?q=/m/014trl&date=today+5-y,/m/014trl,Cosmetics,Topic
1,17,17,True,/trends/explore?q=/m/0gymbj&date=today+5-y,/m/0gymbj,MAC Cosmetics,Company
2,9,9,True,/trends/explore?q=/m/02rv880&date=today+5-y,/m/02rv880,Foundation,Cosmetics
3,7,7,True,/trends/explore?q=/g/11cp7qxz52&date=today+5-y,/g/11cp7qxz52,IT Cosmetics,Topic
4,6,6,True,/trends/explore?q=/g/11f5hvtwjd&date=today+5-y,/g/11f5hvtwjd,Kylie Cosmetics,Cosmetics company
5,3,3,True,/trends/explore?q=/g/11j66zkxwg&date=today+5-y,/g/11j66zkxwg,IT Cosmetics,Company
6,3,3,True,/trends/explore?q=/m/0dzct&date=today+5-y,/m/0dzct,Face,Topic
7,3,3,True,/trends/explore?q=/g/11cp7jrrng&date=today+5-y,/g/11cp7jrrng,BH Cosmetics,Topic
8,3,3,True,/trends/explore?q=/g/11byl2lgb1&date=today+5-y,/g/11byl2lgb1,e.l.f. Cosmetics,Topic
9,3,3,True,/trends/explore?q=/m/03f7j6y&date=today+5-y,/m/03f7j6y,Jeffree Star,American YouTuber
10,3,3,True,/trends/explore?q=/g/11dxd58nzh&date=today+5-y,/g/11dxd58nzh,Jeffree Star Cosmetics,Topic
11,3,3,True,/trends/explore?q=/m/05q5p22&date=today+5-y,/m/05q5p22,e.l.f.,Cosmetics company
12,2,2,True,/trends/explore?q=/g/11j0hsrwg7&date=today+5-y,/g/11j0hsrwg7,Jeffree Star Cosmetics,Cosmetics company
13,2,2,True,/trends/explore?q=/g/11lwd4wz6s&date=today+5-y,/g/11lwd4wz6s,Thrive Causemetics,Topic
14,2,2,True,/trends/explore?q=/m/08p92x&date=today+5-y,/m/08p92x,Cream,Pharmacy
15,2,2,True,/trends/explore?q=/m/06c7f7&date=today+5-y,/m/06c7f7,Lipstick,Topic
16,2,2,True,/trends/explore?q=/g/11dxd2vdb_&date=today+5-y,/g/11dxd2vdb_,Sugar Cosmetics,Topic
17,2,2,True,/trends/explore?q=/g/11n23yjt6j&date=today+5-y,/g/11n23yjt6j,Mac Studio Radiance Face Body Radiant Sheer Foundation,Foundation
18,2,2,True,/trends/explore?q=/m/01f43&date=today+5-y,/m/01f43,Beauty,Topic
19,2,2,True,/trends/explore?q=/g/11c4bg54hx&date=today+5-y,/g/11c4bg54hx,e.l.f.,Topic
20,2,2,True,/trends/explore?q=/m/01jwgf&date=today+5-y,/m/01jwgf,Product,Business
21,2,2,True,/trends/explore?q=/m/06pj2k&date=today+5-y,/m/06pj2k,Lips,Topic
22,2,2,True,/trends/explore?q=/m/01cd9&date=today+5-y,/m/01cd9,Brand,Topic
23,2,2,True,/trends/explore?q=/m/05nn45&date=today+5-y,/m/05nn45,Sephora,Retail
24,2,2,True,/trends/explore?q=/m/0hnd4tx&date=today+5-y,/m/0hnd4tx,CC cream,Topic
